,kmode_cluster
0,2
1,2
2,0
3,1
4,1
5,2
6,2
7,2
8,0
9,0
10,0
11,1
12,0
13,2
14,2
15,1
16,2
17,1
18,2
19,0
20,1
21,2
22,2
23,0
24,0
25,0
26,0
27,0
28,0
29,2
30,2
31,1
32,2
33,0
34,0
35,2
36,0
37,0
38,0
39,2
40,0
41,2
42,2
43,0
44,1
45,1
46,0
47,1
48,2
49,1
50,1
51,2
52,0
53,1
54,1
55,2
56,2
57,2
58,1
59,2
60,1
61,2
62,0
63,0
64,1
65,2
66,2
67,1
68,0
69,1
70,1
71,2
72,2
73,1
74,0
75,2
76,1
77,0
78,2
79,2
80,2
81,0
82,2
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,2
96,2
97,2
98,2
99,2
100,2
101,0
102,2
103,1
104,0
105,2
106,2
107,2
108,1
109,0
110,1
111,1
112,2
113,0
114,2
115,2
116,0
117,2
118,1
119,2
120,2
121,0
122,2
123,2
124,0
125,0
126,0
127,2
128,2
129,1
130,0
131,1
132,0
133,2
134,2
135,2
136,0
137,1
138,2
139,2
140,1
141,2
142,1
143,2
144,2
145,2
146,2
147,1
148,0
149,0
150,2
151,1
152,1
153,1
154,1
155,0
156,0
157,2
158,1
159,0
160,2
161,0
162,2
163,0
164,2
165,2
166,2
167,0
168,2
169,0
170,2
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,2
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,0
193,2
194,1
195,2
196,2
197,2
198,0
199,0
200,2
201,2
202,0
203,1
204,1
205,2
206,0
207,0
208,1
209,1
210,2
211,2
212,2
213,1
214,1
215,0
216,2
217,0
218,0
219,2
220,0
221,0
222,0
223,0
224,2
225,2
226,2
227,0
228,2
229,2
230,2
231,0
232,0
233,2
234,0
235,0
236,1
237,2
238,1
239,1
240,1
241,1
242,2
243,1
244,1
245,0
246,2
247,0
248,1
249,0
250,2
251,1
252,1
253,1
254,2
255,0
256,1
257,0
258,1
259,2
260,2
261,2
262,0
263,2
264,2
265,2
266,0
267,0
268,0
269,0
270,2
271,0
272,1
273,0
274,2
275,2
276,0
277,2
278,1
279,2
280,2
281,0
282,0
283,2
284,2
285,2
286,0
287,2
288,0
289,0
290,2
291,1
292,0
293,2
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,2
302,1
303,1
304,0
305,2
306,0
307,2
308,1
309,2
310,2
311,1
312,2
313,2
314,2
315,1
316,2
317,0
318,2
319,2
320,2
321,2
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,1
330,0
331,0
332,0
333,1
334,0
335,2
336,0
337,2
338,1
339,1
340,1
341,2
342,2
343,0
344,0
345,2
346,2
347,1
348,1
349,0
350,2
351,2
352,0
353,2
354,2
355,0
356,0
357,2
358,1
359,2
360,2
361,0
362,1
363,2
364,0
365,2
366,0
367,2
368,2
369,0
370,0
371,2
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,2
385,0
386,1
387,2
388,2
389,0
390,1
391,2
392,1
393,0
394,2
395,2
396,1
397,1
398,0
399,2
400,2
401,2
402,1
403,1
404,2
405,1
406,2
407,1
408,0
409,2
410,1
411,2
412,0
413,2
414,0
415,1
416,0
417,0
418,1
419,2
420,0
421,2
422,0
423,0
424,1
425,2
426,0
427,0
428,2
429,2
430,0
431,0
432,0
433,1
434,2
435,2
436,0
437,0
438,2
439,0
440,0
441,2
442,1
443,1
444,0
445,0
446,1
447,1
448,0
449,1
450,0
451,1
452,2
453,2
454,1
455,0
456,1
457,0
458,2
459,2
460,1
461,2
462,1
463,1
464,2
465,2
466,2
467,1
468,2
469,2
470,2
471,0
472,2
473,0
474,2
475,0
476,1
477,2
478,2
479,2
480,1
481,2
482,2
483,0
484,0
485,1
486,2
487,2
488,1
489,0
490,2
491,0
492,0
493,0
494,0
495,0
496,2
497,2
498,2
499,2
500,2
501,0
502,2
503,2
504,0
505,0
506,2
507,2
508,2
509,1
510,2
511,1
512,0
513,0
514,2
515,2
516,2
517,0
518,0
519,0
520,2
521,0
522,2
523,0
524,0
525,0
526,0
527,2
528,1
529,1
530,0
531,1
532,1
533,2
534,2
535,1
536,0
537,1
538,1
539,0
540,2
541,1
542,0
543,1
544,1
545,0
